cornell_sample_id,fws_id,batch_id,run_id,source,sample_type,collection_date,species,age,sex,feather,state,county,town,latitude,longitude,weight_mg,h2_amp,percent_h,d2h_vs_vsmow_original,d2h_vs_vsmow_2017,comments,year
MN035,,,1,reference,feather,8/18/2020,MALL,HY,M,,MN,Roseau,RORP1ED2,48.95333333,-96.02472222,0.396,8777,5.73,-122.12,,"Roseau River WMA Pool 1E Dike Site 2, 3.4 NNE Duxby, Roseau Co, MN",2020
MN036,,,1,reference,feather,8/19/2020,MALL,L,F,,MN,Marshall,MAFAPELW,48.25833333,-96.09166667,0.421,9968,6.03,-128.51,,"Farmes Pool, Elm Lake WMA, 7.5 ESE Holt, Marshall Co, MN",2020
MN037,,,1,reference,feather,8/20/2020,MALL,HY,M,,MN,Beltrami,BLMUSLAK,47.675,-95.00833333,0.39,5734,3.74,-125.66,,"Muskrat Lake, 5 E Aure, Beltrami Co, MN",2020
MN038,,,1,reference,feather,8/20/2020,MALL,L,F,,MN,Beltrami,BLMUSLAK,47.675,-95.00833333,0.3,6631,5.62,-122.89,,"Muskrat Lake, 5 E Aure, Beltrami Co, MN",2020
MN039,,,1,reference,feather,9/10/2020,MALL,HY,F,,MN,Marshall,MATLWMNW,48.51138889,-95.92,0.422,9366,5.73,-112.8,,"Thief Lake WMA NW Site, 8.7 NW Gatzke, Marshall Co, MN",2020
MN040,,,1,reference,feather,9/10/2020,MALL,HY,F,,MN,Marshall,MATLWMNW,48.51138889,-95.92,0.373,6959,4.76,-128.86,,"Thief Lake WMA NW Site, 8.7 NW Gatzke, Marshall Co, MN",2020
MN041,,,1,reference,feather,9/10/2020,MALL,HY,M,,MN,Marshall,MATLWMNW,48.51138889,-95.92,0.439,10133,5.92,-153.33,,"Thief Lake WMA NW Site, 8.7 NW Gatzke, Marshall Co, MN",2020
MN042,,,1,reference,feather,9/11/2020,MALL,AHY,F,,MN,Marshall,MATLWMNE,48.49111111,-95.84083333,0.351,8293,6.06,-119.66,,"Thief Lake WMA NE Site, 5.3 NNW Gatzke, Marshall Co, MN",2020
MN043,,,1,reference,feather,9/11/2020,MALL,HY,M,,MN,Marshall,MATLWMNE,48.49111111,-95.84083333,0.371,8486,5.83,-92.34,,"Thief Lake WMA NE Site, 5.3 NNW Gatzke, Marshall Co, MN",2020
MN044,,,1,reference,feather,9/11/2020,MALL,HY,F,,MN,Roseau,MATLWMNE,48.49111111,-95.84083333,0.498,11721,5.98,-128.56,,"Thief Lake WMA NE Site, 5.3 NNW Gatzke, Marshall Co, MN",2020
MN045,,,1,reference,feather,9/22/2020,MALL,HY,M,,MN,Roseau,RORP1ED2,48.95333333,-96.02472222,0.361,8280,5.88,-127.29,,"Roseau River WMA Pool 1E Dike Site 2, 3.4 NNE Duxby, Roseau Co, MN",2020
MN046,,,1,reference,feather,9/22/2020,MALL,HY,M,,MN,Roseau,RORP1ED2,48.95333333,-96.02472222,0.383,8680,5.75,-128.06,,"Roseau River WMA Pool 1E Dike Site 2, 3.4 NNE Duxby, Roseau Co, MN",2020
MN047,,,1,reference,feather,9/22/2020,MALL,HY,F,,MN,Roseau,RORP1ED2,48.95333333,-96.02472222,0.434,10081,5.96,-108.51,,"Roseau River WMA Pool 1E Dike Site 2, 3.4 NNE Duxby, Roseau Co, MN",2020
MN048,,,1,reference,feather,9/22/2020,MALL,HY,F,,MN,Roseau,RORP1ED2,48.95333333,-96.02472222,0.349,8047,5.89,-106.75,,"Roseau River WMA Pool 1E Dike Site 2, 3.4 NNE Duxby, Roseau Co, MN",2020
MN049,,,1,reference,feather,9/23/2020,MALL,HY,F,,MN,Marshall,MATLWMNW,48.51138889,-95.92,0.409,8913,5.62,-121.56,,"Thief Lake WMA NW Site, 8.7 NW Gatzke, Marshall Co, MN",2020
MN050,,,1,reference,feather,9/23/2020,MALL,HY,M,,MN,Marshall,MATLWMNW,48.51138889,-95.92,0.34,7635,5.77,-110.38,,"Thief Lake WMA NW Site, 8.7 NW Gatzke, Marshall Co, MN",2020
MN051,,,1,reference,feather,9/23/2020,MALL,HY,F,,MN,Roseau,RORORW1C,48.96305556,-96.01027778,0.309,6884,5.73,-112.37,,"Roseau River WMA Pool1E Corner Site (T163 R42 S12) 3.2 WSW Pine Ceek, Roseasu Co, MN",2020
MN052,,,1,reference,feather,7/23/2020,RNDU,L,F,,MN,Beltrami,BLWFLAKA,47.67888889,-95.09861111,0.315,7058,5.72,-137.63,,"Whitefish Lake, Aure, Beltrami Co, MN",2020
MN053,,,1,reference,feather,7/23/2020,RNDU,L,F,,MN,Beltrami,BLWFLAKA,47.67888889,-95.09861111,0.351,7861,5.76,-140.75,,"Whitefish Lake, Aure, Beltrami Co, MN",2020
MN054,,,1,reference,feather,8/5/2020,RNDU,L,F,,MN,Clearwater,CLLITPIL,47.6725,-95.525,0.354,8023,5.77,-119.18,,"Little Pine Lake, 4.5 S Gonvick, Clearwater Co, MN",2020
MN055,,,1,reference,feather,8/5/2020,RNDU,L,F,,MN,Clearwater,CLLITPIL,47.6725,-95.525,0.379,8540,5.79,-136.45,,"Little Pine Lake, 4.5 S Gonvick, Clearwater Co, MN",2020
MN056,,,1,reference,feather,8/5/2020,RNDU,HY,F,,MN,Clearwater,CLLITPIL,47.6725,-95.525,0.308,7183,5.97,-129.2,,"Little Pine Lake, 4.5 S Gonvick, Clearwater Co, MN",2020
MN057,,,1,reference,feather,8/5/2020,RNDU,L,F,,MN,Clearwater,CLPINLAK,47.69222222,-95.52527778,0.3,6504,5.54,-120.56,,"Pine Lake, 3.0 S Gonvick, Clearwater Co, MN",2020
MN058,,,1,reference,feather,8/5/2020,RNDU,L,F,,MN,Clearwater,CLPINLAK,47.69222222,-95.52527778,0.346,8053,5.97,-112.93,,"Pine Lake, 3.0 S Gonvick, Clearwater Co, MN",2020
MN059,,,1,reference,feather,8/6/2020,RNDU,L,M,,MN,Clearwater,CLFOULES,47.64166667,-95.24444444,0.354,7986,5.8,-79.9,,"South Four-legged Lake, 1.5 ESE Leonard, Clearwater Co, MN",2020
MN060,,,1,reference,feather,8/6/2020,RNDU,HY,F,,MN,Clearwater,CLFOULES,47.64166667,-95.24444444,0.358,11015,7.82,-77.62,,"South Four-legged Lake, 1.5 ESE Leonard, Clearwater Co, MN",2020
MN061,,,1,reference,feather,8/6/2020,RNDU,L,F,,MN,Itasca,ITLITWHO,47.26861111,-93.75472222,0.367,8438,5.87,-118.1,,"Little White Oak Lake, 11.0 WNW Grand Rapids, Itasca Co, MN",2020
MN062,,,1,reference,feather,8/6/2020,RNDU,L,M,,MN,Itasca,ITLITWHO,47.26861111,-93.75472222,0.416,9345,5.78,-115.66,,"Little White Oak Lake, 11.0 WNW Grand Rapids, Itasca Co, MN",2020
MN063,,,1,reference,feather,8/10/2020,RNDU,L,F,,MN,Clearwater,CLUPPRIL,47.39444444,-95.29472222,0.419,9559,5.82,-103.56,,"Upper Rice Lake, 3.5 WNW Alida, Clearwater Co, MN",2020
MN064,,,1,reference,feather,8/10/2020,RNDU,L,M,,MN,Clearwater,CLUPPRIL,47.39444444,-95.29472222,0.384,8740,5.83,-95,,"Upper Rice Lake, 3.5 WNW Alida, Clearwater Co, MN",2020
MN065,,,1,reference,feather,8/10/2020,RNDU,HY,M,,MN,Clearwater,CLUPPRIL,47.39444444,-95.29472222,0.306,6628,5.59,-87.09,,"Upper Rice Lake, 3.5 WNW Alida, Clearwater Co, MN",2020
MN066,,,1,reference,feather,8/11/2020,RNDU,L,M,,MN,Itasca,ITTHIRIF,47.53138889,-94.2875,0.426,9567,5.8,-138.89,,"Third River Flowage, 8.7 SSE Rosy, Itasca Co, MN",2020
MN067,,,1,reference,feather,8/11/2020,RNDU,L,F,,MN,Itasca,ITWHIOAL,47.30972222,-93.77527778,0.356,8152,5.89,-117.15,,"White Oak Lake, 0.5 S Zemple, Itasca Co, MN",2020
MN068,,,1,reference,feather,8/11/2020,RNDU,L,M,,MN,Itasca,ITWHIOAL,47.30972222,-93.77527778,0.33,7477,5.82,-111.72,,"White Oak Lake, 0.5 S Zemple, Itasca Co, MN",2020
MN069,,,1,reference,feather,8/11/2020,RNDU,L,M,,MN,Itasca,ITWHIOAL,47.30972222,-93.77527778,0.303,6924,5.89,-120.14,,"White Oak Lake, 0.5 S Zemple, Itasca Co, MN",2020
MN070,,,1,reference,feather,8/12/2020,RNDU,L,M,,MN,Polk,PKBADLAK,47.68,-96.01111111,0.3,6957,6.04,-119.01,,"Badger Lake, 1 N Erskine, Polk Co, MN",2020
MN071,,,1,reference,feather,8/12/2020,RNDU,HY,F,,MN,Polk,PKBADLAK,47.68,-96.01111111,0.356,7858,5.75,-113.58,,"Badger Lake, 1 N Erskine, Polk Co, MN",2020
MN072,,,2,reference,feather,8/14/2020,RNDU,L,F,,MN,Itasca,ITSHLWPD,47.75,-94.25805556,0.442,9034,5.08,-123.51,,"Shallow Pond Lake, 1.7 N Alvwood, Itasca Co, MN",2020
MN073,,,2,reference,feather,8/14/2020,RNDU,HY,M,,MN,Itasca,ITSHLWPD,47.75,-94.25805556,0.345,7349,5.3,-125.78,,"Shallow Pond Lake, 1.7 N Alvwood, Itasca Co, MN",2020
MN074,,,2,reference,feather,8/14/2020,RNDU,L,F,,MN,Itasca,ITSHLWPD,47.75,-94.25805556,0.302,7733,6.33,-118.43,,"Shallow Pond Lake, 1.7 N Alvwood, Itasca Co, MN",2020
MN075,,,2,reference,feather,8/17/2020,RNDU,L,F,,MN,Marshall,MATHILAW,48.49166667,-95.89305556,0.436,6028,3.52,-129.1,,"Thief Lake WMA, 6.5 NW Gatzke, Marshall Co, MN",2020
MN076,,,2,reference,feather,8/18/2020,RNDU,HY,M,,MN,Roseau,RORP1ED2,48.95333333,-96.02472222,0.348,7886,5.63,-103.64,,"Roseau River WMA Pool 1E Dike Site 2, 3.4 NNE Duxby, Roseasu Co, MN",2020
MN077,,,2,reference,feather,8/18/2020,RNDU,HY,M,,MN,Roseau,RORP1WPE,48.95361111,-96.06277778,0.355,8137,5.72,-131.82,,"Roseau River WMA Pool 1W Peninsula Site, 3.3 NNW Duxby, Roseasu Co, MN",2020
MN078,,,2,reference,feather,8/20/2020,RNDU,L,F,,MN,Beltrami,BLMUSLAK,47.675,-95.00833333,0.336,7534,5.64,-128.35,,"Muskrat Lake, 5 E Aure, Beltrami Co, MN",2020
MN079,,,2,reference,feather,8/20/2020,RNDU,L,F,,MN,Koochiching,KCBATLAK,47.87305556,-94.3425,0.314,7066,5.61,-115.96,,"Battle Lake, 3.0 W Northome, Koochiching Co, MN",2020
MN080,,,2,reference,feather,8/20/2020,RNDU,HY,M,,MN,Koochiching,KCBATLAK,47.87305556,-94.3425,0.317,7215,5.64,-120.28,,"Battle Lake, 3.0 W Northome, Koochiching Co, MN",2020
