band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B00066724490,B00066724490,"",E,08/22/2019,22,08,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,1,5,P8988788,"",10,23,14,03,1.17,R,12089212,Anas platyrhynchos
B00066724560,B00066724560,"",B,08/22/2019,22,08,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,2,5,P8988788,X,"","","","",,B,10352500,Anas platyrhynchos
B00066724560,B00066724560,"",E,08/22/2019,22,08,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,2,5,P8988788,"",10,23,14,03,0.17,R,12089198,Anas platyrhynchos
B00066724570,B00066724570,"",B,08/22/2019,22,08,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,2,5,P8988788,X,"","","","",,B,10352498,Anas platyrhynchos
B00066724570,B00066724570,"",E,08/22/2019,22,08,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,2,5,P8988788,"",10,23,14,03,0.17,R,12089196,Anas platyrhynchos
B07665066846,B07665066846,"",B,07/09/2012,09,07,2012,US,US-WI,45.50000,-89.50000,60,01,Mallard,1320,3,70,4,4,P9972302,0,"","","","",,B,-59956100,Anas platyrhynchos
B07665066846,B07665066846,"",E,09/22/2012,22,09,2012,US,US-WI,45.73245,-89.50296,11,01,MALLARD,1320,"","","","","","",01,21,61,05,0.25,E,-8910516,Anas platyrhynchos
B07665068360,B07665068360,"",B,09/04/2012,04,09,2012,US,US-WI,45.50000,-92.50000,60,01,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-46779414,Anas platyrhynchos
B07665068360,B07665068360,"",E,10/13/2012,13,10,2012,US,US-WI,45.15198,-92.53659,11,01,MALLARD,1320,"","","","","","",01,21,61,05,0.33,E,-8721170,Anas platyrhynchos
B07665068446,B07665068446,"",B,08/26/2013,26,08,2013,US,US-WI,44.50000,-91.50000,60,01,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,-58921206,Anas platyrhynchos
B07665068446,B07665068446,"",E,09/26/2013,26,09,2013,US,US-WI,44.87552,-91.87861,11,01,mallard,1320,"","","","","","",01,21,61,05,0.25,E,-8610117,Anas platyrhynchos
B07665068766,B07665068766,"",B,08/26/2014,26,08,2014,US,US-WI,45.50000,-92.50000,60,01,Mallard,1320,3,00,1,4,P9972302,0,"","","","",,B,-46510261,Anas platyrhynchos
B07665068766,B07665068766,"",E,10/18/2014,18,10,2014,US,US-WI,43.61348,-89.20651,11,01,MALLARD,1320,"","","","","","",01,21,61,05,1.33,E,-8547278,Anas platyrhynchos
B07665068920,B07665068920,"",B,08/18/2016,18,08,2016,US,US-WI,44.50000,-91.50000,60,01,Mallard,1320,3,00,1,4,P9972302,0,"","","","",,B,-17652058,Anas platyrhynchos
B07665068920,B07665068920,"",E,11/14/2020,14,11,2020,US,US-WI,44.87552,-91.87861,11,01,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,04,5.42,E,605453,Anas platyrhynchos
B07705015565,B07705015565,"",B,08/24/2021,24,08,2021,US,US-WI,43.50000,-88.50000,60,W1,Mallard,1320,3,00,1,4,P8988788,0,"","","","",,B,14897202,Anas platyrhynchos
B07705015565,B07705015565,"",E,12/01/2021,01,12,2021,US,US-WI,42.92611,-89.48313,11,W1,Drake mallard,1320,"","","","","","",01,21,07,05,1.50,E,762449,Anas platyrhynchos
B07705021467,B07705021467,"",B,01/06/2023,06,01,2023,US,US-LA,30.50000,-92.50000,60,W1,Mallard,1320,3,00,6,4,P5725607,0,"","","","",,B,18652558,Anas platyrhynchos
B07705021467,B07705021467,"",E,11/03/2023,03,11,2023,US,US-WI,43.98822,-88.67329,11,W1,duck,1320,"","","","","","",01,21,07,05,2.42,E,1142753,Anas platyrhynchos
B07705022282,B07705022282,"",B,01/04/2022,04,01,2022,US,US-LA,30.50000,-92.50000,60,W1,Mallard,1320,3,00,6,5,P5725607,0,"","","","",,B,15935510,Anas platyrhynchos
B07705022282,B07705022282,"",E,11/25/2022,25,11,2022,US,US-WI,42.64438,-90.72414,0,W1,Mallard,1320,"","","","","","",01,21,07,05,2.42,E,954451,Anas platyrhynchos
B07705024200,B07705024200,"",B,02/09/2021,09,02,2021,US,US-AR,34.50000,-91.50000,60,W1,Mallard,1320,3,00,1,4,P5725607,0,"","","","",,B,14177330,Anas platyrhynchos
B07705024200,B07705024200,"",E,11/17/2023,17,11,2023,US,US-WI,43.90265,-91.31373,11,W1,Drake mallard,1320,"","","","","","",01,21,07,05,3.42,E,1152113,Anas platyrhynchos
B07705030540,B07705030540,"",B,12/16/2020,16,12,2020,US,US-TN,36.50000,-89.50000,60,W1,Mallard,1320,3,00,2,4,P5975689,0,"","","","",,B,13479288,Anas platyrhynchos
B07705030540,B07705030540,"",E,09/25/2021,25,09,2021,US,US-WI,46.14368,-91.91976,0,W1,MALLARD,1320,"","","","","","",01,21,07,04,1.25,E,714279,Anas platyrhynchos
B07705065080,B07705065080,"",B,09/11/2020,11,09,2020,US,US-NH,42.50000,-70.50000,60,W1,Mallard,1320,3,00,2,4,P7987111,0,"","","","",,B,12860548,Anas platyrhynchos
B07705065080,B07705065080,"",E,11/20/2022,20,11,2022,US,US-WI,42.75968,-88.97490,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,2.42,E,949759,Anas platyrhynchos
B07705121541,B07705121541,"",B,02/19/2021,19,02,2021,US,US-PA,41.50000,-77.50000,60,W1,Mallard,1320,3,00,5,4,P9985898,0,"","","","",,B,14106024,Anas platyrhynchos
B07705121541,B07705121541,"",E,11/16/2021,16,11,2021,US,US-WI,43.62748,-89.77096,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,04,1.42,E,748693,Anas platyrhynchos
B07705160225,B07705160225,"",B,03/03/2023,03,03,2023,US,US-OH,41.50000,-82.50000,60,W1,Mallard,1320,3,00,5,4,P9984184,0,"","","","",,B,19512206,Anas platyrhynchos
B07705160225,B07705160225,"",E,10/28/2023,28,10,2023,US,US-WI,43.27438,-89.40290,11,W1,Drake mallard,1320,"","","","","","",01,21,07,04,1.33,E,1137817,Anas platyrhynchos
B07705201017,B07705201017,"",B,08/19/2021,19,08,2021,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14741294,Anas platyrhynchos
B07705201017,B07705201017,"",E,10/04/2021,04,10,2021,US,US-WI,44.98386,-92.57644,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,741361,Anas platyrhynchos
B07705201061,B07705201061,"",B,08/19/2021,19,08,2021,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14741304,Anas platyrhynchos
B07705201061,B07705201061,"",E,10/21/2021,21,10,2021,US,US-WI,44.72779,-90.19420,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,04,0.33,E,727749,Anas platyrhynchos
B07705201147,B07705201147,"",B,08/18/2021,18,08,2021,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14741268,Anas platyrhynchos
B07705201147,B07705201147,"",E,11/14/2022,14,11,2022,US,US-WI,45.54670,-92.38521,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,1.42,E,944093,Anas platyrhynchos
B07705201175,B07705201175,"",B,08/19/2021,19,08,2021,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14741282,Anas platyrhynchos
B07705201175,B07705201175,"",E,11/21/2022,21,11,2022,US,US-WI,44.89972,-92.54477,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,04,1.42,E,950425,Anas platyrhynchos
B07705201330,B07705201330,"",B,08/17/2021,17,08,2021,US,US-WI,44.50000,-91.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14741230,Anas platyrhynchos
B07705201330,B07705201330,"",E,10/30/2021,30,10,2021,US,US-WI,43.41879,-89.23984,11,W1,Mallard,1320,"","","","","","",01,21,07,04,0.33,E,734935,Anas platyrhynchos
B07705201411,B07705201411,"",B,08/17/2021,17,08,2021,US,US-WI,44.50000,-91.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14741214,Anas platyrhynchos
B07705201411,B07705201411,"",E,11/16/2021,16,11,2021,US,US-WI,44.82663,-91.43127,11,W1,Mallard drake,1320,"","","","","","",01,21,07,04,0.42,E,771363,Anas platyrhynchos
B07705201735,B07705201735,"",B,08/16/2022,16,08,2022,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,17058180,Anas platyrhynchos
B07705201735,B07705201735,"",E,08/25/2022,25,08,2022,US,US-WI,45.25000,-92.41667,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,17285180,Anas platyrhynchos
B07705201735,B07705201735,"",E,10/03/2022,03,10,2022,US,US-WI,45.17599,-92.49428,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,04,0.33,E,911137,Anas platyrhynchos
B07705201860,B07705201860,"",B,08/11/2022,11,08,2022,US,US-WI,44.50000,-91.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,17058174,Anas platyrhynchos
B07705201860,B07705201860,"",E,08/18/2022,18,08,2022,US,US-WI,44.91667,-91.75000,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,17285176,Anas platyrhynchos
B07705202347,B07705202347,"",B,07/13/2022,13,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,5,P9972302,0,"","","","",,B,16713854,Anas platyrhynchos
B07705202347,B07705202347,"",E,09/24/2023,24,09,2023,US,US-WI,45.92615,-89.50318,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,1.25,E,1105255,Anas platyrhynchos
B07705202742,B07705202742,"",B,07/12/2023,12,07,2023,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,5,P9972302,0,"","","","",,B,19094886,Anas platyrhynchos
B07705202742,B07705202742,"",E,09/23/2023,23,09,2023,US,US-WI,45.90162,-89.69475,11,W1,MALLARD,1320,"","","","","","",01,21,07,04,0.25,E,1104503,Anas platyrhynchos
B07705202770,B07705202770,"",B,07/12/2023,12,07,2023,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,5,P9972302,0,"","","","",,B,19094900,Anas platyrhynchos
B07705202770,B07705202770,"",E,09/23/2023,23,09,2023,US,US-WI,45.97158,-89.53264,11,W1,MALLARD,1320,"","","","","","",01,21,07,05,0.25,E,1104275,Anas platyrhynchos
B07705203010,B07705203010,"",B,07/18/2022,18,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,16713778,Anas platyrhynchos
B07705203010,B07705203010,"",E,09/26/2022,26,09,2022,US,US-WI,45.66294,-89.72515,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,905017,Anas platyrhynchos
B07705203065,B07705203065,"",B,07/18/2022,18,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,16713788,Anas platyrhynchos
B07705203065,B07705203065,"",E,10/06/2022,06,10,2022,US,US-WI,45.89634,-89.90641,11,W1,MALLARD,1320,"","","","","","",01,21,07,04,0.33,E,913155,Anas platyrhynchos
B07705203142,B07705203142,"",B,07/18/2022,18,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,16713752,Anas platyrhynchos
B07705203142,B07705203142,"",E,10/04/2022,04,10,2022,US,US-WI,45.94763,-89.51804,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,912237,Anas platyrhynchos
B07705203303,B07705203303,"",B,07/13/2022,13,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,16713720,Anas platyrhynchos
B07705203303,B07705203303,"",E,09/24/2022,24,09,2022,US,US-WI,45.92051,-89.66348,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.25,E,902349,Anas platyrhynchos
B07705203415,B07705203415,"",B,07/12/2022,12,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,16713698,Anas platyrhynchos
B07705203415,B07705203415,"",E,10/29/2022,29,10,2022,US,US-WI,43.58114,-88.45780,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,973493,Anas platyrhynchos
B07705203540,B07705203540,"",B,07/13/2021,13,07,2021,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,14482314,Anas platyrhynchos
B07705203540,B07705203540,"",E,07/17/2023,17,07,2023,US,US-WI,45.91667,-89.91667,10,W1,Mallard,1320,3,00,1,4,P9972302,"",66,23,15,07,2.08,R,19095174,Anas platyrhynchos
B07705203702,B07705203702,"",B,07/12/2023,12,07,2023,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,19094836,Anas platyrhynchos
B07705203702,B07705203702,"",E,09/24/2023,24,09,2023,US,US-WI,45.92051,-89.70497,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.25,E,1151339,Anas platyrhynchos
B07705203947,B07705203947,"",B,07/18/2022,18,07,2022,US,US-WI,45.50000,-89.50000,60,W1,Mallard,1320,3,00,4,4,P9972302,0,"","","","",,B,16713792,Anas platyrhynchos
B07705203947,B07705203947,"",E,10/08/2022,08,10,2022,US,US-WI,45.87134,-89.71098,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,916461,Anas platyrhynchos
B07705204340,B07705204340,"",B,08/02/2022,02,08,2022,US,US-WI,44.50000,-90.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,16981130,Anas platyrhynchos
B07705204340,B07705204340,"",E,08/22/2022,22,08,2022,US,US-WI,44.41667,-90.25000,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,17285092,Anas platyrhynchos
B07705204535,B07705204535,"",B,08/17/2021,17,08,2021,US,US-WI,44.50000,-90.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14881610,Anas platyrhynchos
B07705204535,B07705204535,"",E,09/02/2021,02,09,2021,US,US-WI,44.41667,-90.25000,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.25,R,14978920,Anas platyrhynchos
B07705205942,B07705205942,"",B,08/10/2022,10,08,2022,US,US-WI,44.50000,-90.50000,60,W1,Mallard,1320,3,00,1,5,P9972302,0,"","","","",,B,16981106,Anas platyrhynchos
B07705205942,B07705205942,"",E,09/24/2023,24,09,2023,US,US-WI,45.78012,-92.36072,11,W1,MALLARD,1320,"","","","","","",01,21,07,05,2.25,E,1105547,Anas platyrhynchos
B07705206075,B07705206075,"",B,08/31/2023,31,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,19450272,Anas platyrhynchos
B07705206075,B07705206075,"",E,11/11/2023,11,11,2023,US,US-WI,44.48579,-87.83439,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.42,E,1148145,Anas platyrhynchos
B07705206130,B07705206130,"",B,08/31/2023,31,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,19450240,Anas platyrhynchos
B07705206130,B07705206130,"",E,10/15/2023,15,10,2023,US,US-WI,44.10499,-87.95787,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1126423,Anas platyrhynchos
B07705206215,B07705206215,"",B,08/29/2023,29,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,19450224,Anas platyrhynchos
B07705206215,B07705206215,"",E,10/28/2023,28,10,2023,US,US-WI,43.41388,-89.28539,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1137515,Anas platyrhynchos
B07705206502,B07705206502,"",B,08/29/2023,29,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,19450166,Anas platyrhynchos
B07705206502,B07705206502,"",E,12/02/2023,02,12,2023,US,US-WI,44.03604,-87.72084,0,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.50,E,1166611,Anas platyrhynchos
B07705207177,B07705207177,"",B,08/29/2023,29,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19450052,Anas platyrhynchos
B07705207177,B07705207177,"",E,10/28/2023,28,10,2023,US,US-WI,44.10796,-87.90212,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1137511,Anas platyrhynchos
B07705207335,B07705207335,"",B,08/29/2023,29,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19450000,Anas platyrhynchos
B07705207335,B07705207335,"",E,10/05/2023,05,10,2023,US,US-WI,44.42967,-87.85259,0,W1,Mallard,1320,"","","","","","",44,21,07,04,0.33,E,1115101,Anas platyrhynchos
B07705207490,B07705207490,"",B,08/29/2023,29,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19449988,Anas platyrhynchos
B07705207490,B07705207490,"",E,10/16/2023,16,10,2023,US,US-WI,44.10499,-87.95787,11,W1,MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1126773,Anas platyrhynchos
B07705207577,B07705207577,"",B,08/24/2023,24,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19449972,Anas platyrhynchos
B07705207577,B07705207577,"",E,08/31/2023,31,08,2023,US,US-WI,44.08333,-87.91667,10,W1,Mallard,1320,3,00,2,5,P9972302,"",66,23,15,07,0.17,R,19499508,Anas platyrhynchos
B07705207737,B07705207737,"",B,08/31/2023,31,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19450120,Anas platyrhynchos
B07705207737,B07705207737,"",E,12/03/2023,03,12,2023,US,US-WI,44.42936,-87.50314,11,W1,GREENHEAD MALLARD,1320,"","","","","","",01,21,07,05,0.50,E,1168175,Anas platyrhynchos
B07705207810,B07705207810,"",B,08/31/2023,31,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19450104,Anas platyrhynchos
B07705207810,B07705207810,"",E,10/28/2023,28,10,2023,US,US-WI,44.15360,-87.99699,11,W1,MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1137163,Anas platyrhynchos
B07705207972,B07705207972,"",B,08/31/2023,31,08,2023,US,US-WI,44.50000,-87.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,19450092,Anas platyrhynchos
B07705207972,B07705207972,"",E,10/14/2023,14,10,2023,US,US-WI,43.59334,-88.12033,11,W1,MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,1123571,Anas platyrhynchos
B07705210221,B07705210221,"",B,08/17/2021,17,08,2021,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,14903412,Anas platyrhynchos
B07705210221,B07705210221,"",E,11/11/2021,11,11,2021,US,US-WI,43.53915,-89.00678,11,W1,Mallard,1320,"","","","","","",01,21,07,04,0.42,E,744277,Anas platyrhynchos
B07705210747,B07705210747,"",B,09/08/2021,08,09,2021,US,US-WI,45.50000,-92.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,14903508,Anas platyrhynchos
B07705210747,B07705210747,"",E,10/16/2021,16,10,2021,US,US-WI,43.74612,-89.22004,0,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,723425,Anas platyrhynchos
B07705212181,B07705212181,"",B,08/24/2021,24,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14847292,Anas platyrhynchos
B07705212181,B07705212181,"",E,12/04/2021,04,12,2021,US,US-WI,42.53519,-88.09564,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.50,E,765105,Anas platyrhynchos
B07705212662,B07705212662,"",B,08/24/2021,24,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14847396,Anas platyrhynchos
B07705212662,B07705212662,"",E,10/02/2021,02,10,2021,US,US-WI,42.67843,-88.19749,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,0.33,E,713281,Anas platyrhynchos
B07705214180,B07705214180,"",B,08/20/2021,20,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,14846984,Anas platyrhynchos
B07705214180,B07705214180,"",E,08/25/2021,25,08,2021,US,US-WI,42.58333,-88.08333,10,W1,Mallard,1320,3,00,2,5,P9972302,"",66,23,14,07,0.17,R,14978866,Anas platyrhynchos
B07705214342,B07705214342,"",B,08/13/2021,13,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,14846932,Anas platyrhynchos
B07705214342,B07705214342,"",E,10/16/2022,16,10,2022,US,US-WI,42.69132,-88.10698,0,W1,MALLARD,1320,"","","","","","",01,21,07,05,1.33,E,921979,Anas platyrhynchos
B07705214504,B07705214504,"",B,08/05/2021,05,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,14846900,Anas platyrhynchos
B07705214504,B07705214504,"",E,10/01/2022,01,10,2022,US,US-WI,42.55891,-88.10147,11,W1,Hen mallard,1320,"","","","","","",01,21,07,05,1.33,E,908971,Anas platyrhynchos
B07705214587,B07705214587,"",B,08/05/2021,05,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,5,P9972302,0,"","","","",,B,14846904,Anas platyrhynchos
B07705214587,B07705214587,"",E,08/13/2021,13,08,2021,US,US-WI,42.58333,-88.08333,10,W1,Mallard,1320,3,00,2,5,P9972302,"",66,23,14,07,0.17,R,14978800,Anas platyrhynchos
B07705214667,B07705214667,"",B,08/13/2021,13,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14847088,Anas platyrhynchos
B07705214667,B07705214667,"",E,08/24/2021,24,08,2021,US,US-WI,42.58333,-88.08333,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,14978828,Anas platyrhynchos
B07705214667,B07705214667,"",E,11/25/2021,25,11,2021,US,US-WI,42.83362,-88.73233,11,W1,Mallard,1320,"","","","","","",01,21,07,05,0.42,E,760063,Anas platyrhynchos
B07705214740,B07705214740,"",B,08/13/2021,13,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14847052,Anas platyrhynchos
B07705214740,B07705214740,"",E,10/17/2021,17,10,2021,US,US-WI,42.91200,-88.90178,0,W1,Mallard,1320,"","","","","","",01,21,07,05,0.33,E,724507,Anas platyrhynchos
B07705214902,B07705214902,"",B,08/05/2021,05,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14847020,Anas platyrhynchos
B07705214902,B07705214902,"",E,08/24/2021,24,08,2021,US,US-WI,42.58333,-88.08333,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,14978826,Anas platyrhynchos
B07705214981,B07705214981,"",B,08/05/2021,05,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,2,4,P9972302,0,"","","","",,B,14847024,Anas platyrhynchos
B07705214981,B07705214981,"",E,08/13/2021,13,08,2021,US,US-WI,42.58333,-88.08333,10,W1,Mallard,1320,3,00,2,4,P9972302,"",66,23,14,07,0.17,R,14978808,Anas platyrhynchos
B07705215462,B07705215462,"",B,08/24/2021,24,08,2021,US,US-WI,42.50000,-88.50000,60,W1,Mallard,1320,3,00,1,5,P9972302,0,"","","","",,B,14846832,Anas platyrhynchos
B07705215462,B07705215462,"",E,08/25/2021,25,08,2021,US,US-WI,42.58333,-88.08333,10,W1,Mallard,1320,3,00,1,5,P9972302,"",66,23,14,07,1.17,R,14978884,Anas platyrhynchos
